x,y
-0.05918,-0.44741
-0.21710,0.83963
0.76116,-0.13974
0.86399,-0.74978
0.10700,0.28816
-0.50047,-0.10098
-0.49595,-0.86712
0.54420,0.05363
0.93795,0.45783
-0.07533,-0.33506
-0.14932,-0.79181
0.50192,-0.32336
0.93554,0.57072
-0.49521,0.94504
-0.06086,-0.43284
0.50017,-0.57715
-0.37127,-0.08313
0.18156,0.18189
-0.87589,-0.26579
0.71294,-0.88298
0.42532,-0.94181
0.77102,0.14921
0.78785,-0.83450
0.40464,0.95183
0.09165,-0.68251
-0.49529,-0.05638
-0.15561,0.20915
-0.49699,0.81760
0.36324,0.07432
0.16496,0.80020
-0.92710,-0.37021
-0.52818,0.94469
0.85432,0.76811
-0.00355,-0.08909
0.92834,0.41831
0.84224,0.78242
-0.50081,0.91446
0.17193,0.81666
0.77122,-0.84371
-0.27600,-0.12189
0.51551,-0.06279
-0.49924,0.89080
0.88928,0.28244
0.80319,0.82106
-0.09360,-0.69235
0.80365,-0.81484
-0.49975,-0.69537
0.50122,-0.52267
-0.77224,-0.14531
-0.07698,0.37213
-0.89606,-0.29784
0.06968,-0.37083
-0.66349,0.08115
-0.94965,-0.49363
-0.06277,-0.41022
-0.00020,-0.28367
-0.50141,-0.05821
-0.49591,-0.05402
0.85865,-0.23786
0.79132,-0.16336
0.62646,-0.93528
-0.17819,-0.81773
0.50076,-0.94047
-0.27661,0.87849
0.63930,0.07685
-0.50044,-0.94388
-0.49663,0.82416
-0.34895,-0.92174
-0.17846,-0.18515
0.94445,0.47754
-0.91510,-0.33486
-0.49897,-0.69118
-0.42671,-0.06635
0.93218,-0.62010
